"lowedF" "mededF" "highedF" "cohort"
"87" 0.398735891822964 0.440306184798097 0.160957923378939 1956
"88" 0.386112945461664 0.448277245896361 0.165609808641975 1957
"89" 0.373840736711907 0.455774035385562 0.170385227902531 1958
"90" 0.361913302378368 0.462790284063318 0.175296413558313 1959
"91" 0.350316813828045 0.46933153096827 0.180351655203685 1960
"92" 0.339034298229503 0.475409307028192 0.185556394742304 1961
"93" 0.328042060902313 0.481049622987941 0.190908316109746 1962
"94" 0.317313973796668 0.486284607426966 0.196401418776366 1963
"95" 0.306822027130493 0.491156718556432 0.202021254313075 1964
"96" 0.296541977799508 0.495712264909503 0.207745757290988 1965
"97" 0.286453670742357 0.499996606361279 0.213549722896356 1966
"98" 0.27654878348447 0.504049955712931 0.219401260802584 1967
"99" 0.266822557563358 0.507907862516229 0.22526957992039 1968
"100" 0.257272657978077 0.511592370399289 0.231134971622604 1969
"101" 0.247896872728437 0.515120613284493 0.23698251398703 1970
"102" 0.238690856217815 0.518503313241168 0.242805830540969 1971
"103" 0.229648971433321 0.521748543298695 0.248602485267927 1972
"104" 0.220764566540724 0.524863468637044 0.254371964822164 1973
"105" 0.212027738972078 0.527852738853654 0.260119522174187 1974
"106" 0.203426670301845 0.530720865794161 0.265852463903901 1975
"107" 0.194944073042884 0.53347602792649 0.271579899030521 1976
"108" 0.186557331074105 0.53613370305023 0.277308965875545 1977
"109" 0.178242673691674 0.538712429238939 0.283044897069252 1978
"110" 0.16997593732054 0.541236177474211 0.2887878852051 1979
"111" 0.161734753057594 0.543728777507278 0.294536469434964 1980
"112" 0.153504323558716 0.546208061259888 0.300287615181216 1981
"113" 0.146024430348446 0.548143262119495 0.305831523884235 1982
"114" 0.138808802528278 0.549854341881977 0.311332551827556 1983
"115" 0.131857514009355 0.551343907994889 0.316785893106551 1984
"116" 0.125169560760738 0.552615029152172 0.32218690087576 1985
"117" 0.118743008661828 0.553671149901237 0.327531072282155 1986
"118" 0.112575076884511 0.554516054207021 0.332814050542162 1987
"119" 0.106662221314516 0.55515383017595 0.338031626580952 1988
"120" 0.101000216953646 0.555588836141442 0.343179740322472 1989
"121" 0.0955842383997123 0.5558256682686 0.348254481709423 1990
"122" 0.0904089376511553 0.555869129795471 0.353252091522736 1991
"123" 0.0854685186256284 0.555724201991874 0.358168962060244 1992
"124" 0.0807568079143369 0.55539601688442 0.363001637724449 1993
"125" 0.076267321415178 0.554889831768058 0.367746815559746 1994
"126" 0.07199332659696 0.554211005499965 0.372401345770331 1995
"127" 0.0679279002437739 0.553364976550962 0.376962232241407 1996
"128" 0.0640639816130069 0.552357242772385 0.381426633078326 1997
"129" 0.0603944210128468 0.551193342822434 0.385791861171023 1998
"130" 0.0569120238660069 0.549878839185045 0.390055384784566 1999
"131" 0.0536095903765583 0.548419302706002 0.394214828170888 2000
"132" 0.0504799509570435 0.546820298565128 0.39826797219177 2001
"133" 0.0475159976044109 0.545087373599507 0.402212754938959 2002
"134" 0.0447107114367002 0.543226044890707 0.406047272333851 2003
"135" 0.0420571866188029 0.541241789528422 0.40976977868645 2004
"136" 0.039548650915935 0.539140035463772 0.413378687191308 2005
"137" 0.0371784831185875 0.536926153367359 0.416872570336785 2006
"138" 0.0349402275834888 0.534605449409842 0.420250160203228 2007
"139" 0.0328276061322792 0.532183158886215 0.423510348625457 2008
"140" 0.0308345275438516 0.529664440608821 0.426652187195304 2009
"141" 0.0289550948682668 0.527054371998377 0.429674887080718 2010
"142" 0.0271836107803462 0.524357944806791 0.432577818639141 2011
"143" 0.0255145811799528 0.521580061410107 0.43536051080442 2012
"144" 0.0239427172339979 0.518725531614619 0.438022650228377 2013
"145" 0.0224629360426935 0.515799069923765 0.440564080160274 2014
"146" 0.0210703600998044 0.51280529321795 0.442984799049726 2015
"147" 0.0197603157038694 0.509748718803824 0.445284958861111 2016
"148" 0.0185283304647508 0.506633762793701 0.447464863090134 2017
"149" 0.0173701300375876 0.503464738779831 0.449524964475878 2018
"150" 0.0162816342043878 0.500245856771933 0.451465862404405 2019
"151" 0.0152589524121802 0.496981222369926 0.453288300002693 2020
"152" 0.0142983788659293 0.493674836147025 0.454993160924399 2021
"153" 0.013396387264326 0.490330593221359 0.456581465831549 2022
"154" 0.0125496252571298 0.486952282996988 0.458054368578826 2023
"155" 0.0117549086939702 0.483543589057684 0.459413152109543 2024
"156" 0.011009215726395 0.480108089199059 0.460659224074662 2025
"157" 0.0103096808174891 0.47664925558662 0.461794112188394 2026
"158" 0.00965358870654242 0.473170455029123 0.462819459335832 2027
"159" 0.00903836837000387 0.469674949358112 0.463737018449868 2028
"160" 0.0084615870142881 0.466165895905941 0.464548647176223 2029
"161" 0.00792094413086981 0.462646348075705 0.465256302346782 2030
"162" 0.00741426563947648 0.459119255997551 0.465862034282581 2031
"163" 0.006939498141038 0.455587467266646 0.46636798094877 2032
"164" 0.00649470329833806 0.452053727758823 0.46677636198457 2033
"165" 0.00607805235900346 0.448520682520462 0.4670894726318 2034
"166" 0.00568782083253171 0.444990876729662 0.467309677585858 2035
"167" 0.00532238333046206 0.441466756726073 0.46743940479313 2036
"168" 0.00498020857651157 0.437950671107062 0.467481139218765 2037
"169" 0.00465985459149754 0.434444871888049 0.467437416608457 2038
"170" 0.00435996405612281 0.430951515724965 0.467310817267445 2039
"171" 0.00407925985318885 0.427472665196867 0.46710395987937 2040
"172" 0.00381654078949659 0.424010290146727 0.466819495386849 2041
"173" 0.00357067749657884 0.42056626907841 0.466460100954756 2042
"174" 0.00334060850845823 0.417142390607768 0.466028474036227 2043
"175" 0.00312533651382466 0.413740354965726 0.465527326560249 2044
"176" 0.00292392477935901 0.410361775551101 0.46495937925855 2045
"177" 0.00273549374038018 0.407008180530799 0.464327356148184 2046
"178" 0.00255921775454699 0.403681014484918 0.463633979184925 2047
"179" 0.00239432201399268 0.400381640094138 0.462881963101149 2048
"180" 0.00224007961099587 0.397111339866689 0.462074010440513 2049
"181" 0.00209580875208884 0.393871317902045 0.461212806800278 2050
